drug_id,drug_name,treats,causes
DB00427,Triprolidine,rhinitis; urticaria; angioedema; urticaria; angioedema; rhinitis; conjunctivitis; urticaria; common cold,weakness; weakness; tachycardia; hypertension; hypotension; weakness; tachycardia; weakness; weakness; depression; irritability; agitation; hypertension; hypotension; depression
DB00428,Streptozocin,,anorexia; nausea; vomiting; anorexia; anorexia; anorexia
DB00429,Carboprost Tromethamine,,pyrexia; dyspnea; hypertension; flushing; nausea; vomiting; diarrhea; flushing; dyspnea; diarrhea; asthma; hypertension; asthma
DB00430,Cefpiramide,,distress; nausea; vomiting; diarrhea; diarrhea
DB00431,Lindane,,convulsion
DB00432,Trifluridine,herpes,depression; depression
DB00433,Prochlorperazine,nausea; vomiting; anxiety; anxiety disorder,fever; hypotension; fever; depression; agitation; hypotension; depression
DB00434,Cyproheptadine,rhinitis; urticaria; angioedema; urticaria; angioedema; rhinitis; conjunctivitis; urticaria,
DB00436,Bendroflumethiazide,edema; pressure; high blood pressure; edema; heart failure,
DB00437,Allopurinol,gout,
DB00438,Ceftazidime,,seizure
DB00440,Trimethoprim,diarrhea; diarrhea; bronchitis; pneumonia; pyelonephritis; cystitis,
DB00441,Gemcitabine,,rash; rash
DB00442,Entecavir,hepatitis; hepatitis,
DB00443,Betamethasone,,burning; dermatitis; itching; hypertrichosis; dermatitis
DB00446,Chloramphenicol,diarrhea; conjunctivitis; diarrhea; cholera,collapse; cyanosis; emesis; distension; cyanosis; cyanosis
DB00447,Loracarbef,bronchitis; pneumonia; pyelonephritis,headache; dizziness; nausea; vomiting; diarrhea; rash; rash; diarrhea; depression; depression
DB00448,Lansoprazole,reflux; peptic ulcer,pain; abdominal pain; nausea; abdominal pain; diarrhea; diarrhea; abdominal pain
DB00449,Dipivefrin,pressure,
DB00450,Droperidol,nausea; vomiting,
DB00451,Levothyroxine,goiter; hypothyroidism,fever; sweating; weight loss; increased appetite; pressure; abdominal cramps; palpitations; tachycardia; abdominal cramps; diarrhea; weight loss; heat intolerance; sweating; palpitations; tachycardia; fever; weight loss; diarrhea; insomnia
DB00453,Clomocycline,bronchitis,
DB00454,Pethidine,pain,
DB00455,Loratadine,rhinitis; erythema; urticaria; pruritus; erythema; urticaria; rhinitis; urticaria,headache; tachycardia; tachycardia
DB00457,Prazosin,hypertension; hypertension; heart failure,
DB00458,Imipramine,neuralgia; enuresis; depression; panic; neuralgia; depression; bipolar disorder; schizophrenia,malaise; pain; headache; abdominal pain; ataxia; delirium; blurred vision; tachycardia; hypertension; hypotension; postural hypotension; nausea; vomiting; abdominal pain; diarrhea; constipation; urine retention; ataxia; tachycardia; malaise; diarrhea; abdominal pain; depression; anxiety; insomnia; hypertension; hypotension; heart failure; depression; bipolar disorder
DB00459,Acitretin,psoriasis,headache; vertigo
DB00460,Verteporfin,tumors,
DB00461,Nabumetone,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pain; abdominal pain; abdominal pain; abdominal pain
DB00462,Methylscopolamine bromide,nausea; vomiting; peptic ulcer,weakness; headache; dizziness; paralysis; weakness; confusion; blurred vision; irregular heartbeat; nausea; vomiting; difficulty swallowing; weakness; dry skin; dry skin; weakness; weakness; anxiety; confusion
DB00463,Metharbital,epilepsy,fever; weakness; weakness; confusion; shortness of breath; weakness; weakness; weakness; fever; irritability; confusion
DB00464,Sodium Tetradecyl Sulfate,varicose veins,
DB00465,Ketorolac,pain,
DB00466,Picrotoxin,distress; respiratory distress,paralysis; delirium
DB00467,Enoxacin,cystitis,
DB00468,Quinine,malaria,thrombocytopenia
DB00469,Tenoxicam,pain; backache; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,
DB00470,Dronabinol,weight loss; anorexia; nausea; vomiting; anorexia; weight loss; anorexia; weight loss; anorexia; aids,
DB00471,Montelukast,asthma; asthma,fever; tiredness; weakness; pain; headache; stomach pain; dental pain; dizziness; weakness; cough; stuffy nose; heartburn; stomach pain; heartburn; weakness; rash; weakness; weakness; fever; rash; cough
DB00472,Fluoxetine,pain; fibromyalgia; neuropathic pain; fibromyalgia; depression; anxiety; panic; agitation; dementia; bulimia; fibromyalgia; depression; anxiety disorder; dementia,sweating; fatigue; asthenia; anorexia; dizziness; lightheadedness; tremor; nausea; diarrhea; anorexia; rash; sweating; tremor; decreased libido; fatigue; fatigue; fatigue; anorexia; rash; diarrhea; anxiety; agitation; insomnia; anorexia; hyperactivity
DB00473,Hexylcaine,,headache; twitching; tinnitus; depression; depression
DB00474,Methohexital,,edema; collapse; twitching; hypotension; edema; depression; hyperactivity; hypotension; depression
DB00475,Chlordiazepoxide,anxiety,weakness; weakness; weakness; muscle weakness; weakness; weakness; depression; depression
DB00476,Duloxetine,pain; fibromyalgia; neuropathic pain; incontinence; fibromyalgia; anxiety; fibromyalgia; neuropathy; anxiety disorder,rigidity
DB00477,Chlorpromazine,hiccups; nausea; vomiting; impulsivity; schizophrenia,fever; pressure; low blood pressure; difficulty swallowing; fever; agitation
DB00478,Rimantadine,influenza,arrhythmia; arrhythmia; agitation; arrhythmia
DB00479,Amikacin,tuberculosis,dizziness; vertigo; nausea; vomiting; frequency
DB00480,Lenalidomide,anemia,
DB00482,Celecoxib,pain; dysmenorrhea; dysmenorrhea; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pain; pressure; stomach pain; high blood pressure; nausea; vomiting; stomach pain
DB00483,Gallamine Triethiodide,anesthesia,
DB00484,Brimonidine,pressure; hypertension; erythema; erythema; hypertension,burning; burning sensation; flushing; erythema; dermatitis; erythema; flushing; dermatitis
DB00485,Dicloxacillin,,fever; chills; wheezing; nausea; rash; hives; itching; fever; rash; wheezing
DB00486,Nabilone,nausea; vomiting,anxiety
DB00487,Pefloxacin,urethritis,burning; rash; itching; rash; anxiety; agitation; neuropathy
DB00489,Sotalol,atrial fibrillation; atrial flutter,bronchospasm; bradycardia; hypotension; bradycardia; hypotension; heart failure
DB00490,Buspirone,depression; anxiety; depression,dizziness; nausea; vomiting
DB00491,Miglitol,diabetes,discomfort; flatulence; diarrhea; diarrhea
DB00492,Fosinopril,hypertension; hypertension; heart failure; diabetes,fatigue; headache; cough; hypotension; fatigue; fatigue; fatigue; cough; hypotension
DB00493,Cefotaxime,pyelonephritis,distress; nausea; vomiting; diarrhea; diarrhea
DB00494,Entacapone,,pain; abdominal pain; dizziness; hypotension; orthostatic hypotension; nausea; abdominal pain; diarrhea; constipation; diarrhea; abdominal pain; hypotension
DB00495,Zidovudine,hiv,fatigue; headache; nausea; vomiting; fatigue; fatigue; fatigue
DB00496,Darifenacin,frequency; urgency; incontinence,
DB00497,Oxycodone,pain,bradycardia; hypotension; bradycardia; depression; hypotension; depression
DB00498,Phenindione,atrial fibrillation,
DB00499,Flutamide,,anorexia; ataxia; emesis; anorexia; ataxia; anorexia; anorexia
DB00500,Tolmetin,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,lethargy; pain; nausea; vomiting
DB00501,Cimetidine,reflux; heartburn; indigestion; indigestion; heartburn; peptic ulcer,nausea; vomiting; diarrhea; diarrhea
DB00502,Haloperidol,delirium; nausea; vomiting; hyperactivity; schizophrenia,
DB00503,Ritonavir,hiv,pancreatitis
DB00504,Levallorphan,depression; depression,
DB00505,Tridihexethyl,nystagmus; peptic ulcer,
DB00507,Nitazoxanide,diarrhea; diarrhea,
DB00508,Triflupromazine,nausea; vomiting,fever; pressure; low blood pressure; difficulty swallowing; fever; agitation
DB00511,Acetyldigitoxin,heart failure,tachycardia; heart block; ventricular tachycardia; tachycardia
DB00513,Aminocaproic Acid,,hypotension; hypotension
DB00514,Dextromethorphan,cough; dry cough; cough,
DB00515,Cisplatin,tumors,
DB00516,Bentoquatam,dermatitis; dermatitis,redness; erythema; erythema; redness
DB00517,Anisotropine Methylbromide,peptic ulcer,
DB00518,Albendazole,,fever; itching; hair loss; fever
DB00519,Trandolapril,hypertension; hypertension; heart failure; diabetes,headache; dizziness; cough; hypotension; cough; hypotension
DB00520,Caspofungin,,swelling; swelling; nausea; rash; swelling; rash
DB00521,Carteolol,hypertension; hypertension,bronchospasm; bradycardia; hypotension; bradycardia; hypotension; heart failure
DB00522,Bentiromide,,shortness of breath
DB00523,Alitretinoin,aids,
DB00524,Metolazone,hypertension; hypertension,lethargy; dizziness; fainting; fainting
DB00526,Oxaliplatin,,fatigue; pain; chest pain; paresthesia; dyspnea; wheezing; chest pain; bradycardia; nausea; vomiting; emesis; diarrhea; bradycardia; fatigue; fatigue; fatigue; wheezing; dyspnea; diarrhea; neuropathy; anemia; thrombocytopenia
DB00527,Cinchocaine,anesthesia,bradycardia; bradycardia
DB00528,Lercanidipine,angina; angina; hypertension; hypertension,
DB00529,Foscarnet,immunodeficiency; aids,
DB00530,Erlotinib,,fatigue; anorexia; nausea; diarrhea; anorexia; rash; fatigue; fatigue; fatigue; anorexia; rash; diarrhea; anorexia
DB00531,Cyclophosphamide,,fever; febrile; nausea; vomiting; diarrhea; alopecia; alopecia; fever; diarrhea
DB00532,Mephenytoin,epilepsy,
DB00533,Rofecoxib,pain; migraine; dysmenorrhea; dysmenorrhea; arthritis; arthritis; osteoarthritis; rheumatoid arthritis; migraine,
DB00535,Cefdinir,,distress; nausea; vomiting; diarrhea; diarrhea
DB00536,Guanidine,weakness; weakness; weakness; muscle weakness; weakness; weakness,nausea; vomiting; diarrhea; diarrhea; anemia
DB00537,Ciprofloxacin,fever; diarrhea; fever; diarrhea; cystitis; typhoid,
DB00538,Gadoversetamide,tumors,
DB00539,Toremifene,tumors,
DB00540,Nortriptyline,pain; migraine; depression; agitation; insomnia; irritable bowel syndrome; migraine; neuropathy; depression,edema; delirium; blurred vision; tachycardia; hypertension; hypotension; postural hypotension; edema; constipation; tachycardia; depression; anxiety; insomnia; hypertension; hypotension; heart failure; depression
DB00541,Vincristine,leukemia; lymphoma,
DB00542,Benazepril,hypertension; hypertension,fatigue; headache; dizziness; cough; hypotension; nausea; fatigue; fatigue; fatigue; cough; hypotension
DB00543,Amoxapine,depression; anxiety; agitation; depression,
DB00546,Adinazolam,anxiety,weakness; weakness; ataxia; dysarthria; confusion; weakness; muscle weakness; ataxia; weakness; weakness; confusion
DB00549,Zafirlukast,asthma; asthma,rash; rash
DB00550,Propylthiouracil,hyperthyroidism,
DB00551,Acetohydroxamic Acid,,lethargy; malaise; anorexia; tremor; nausea; vomiting; anorexia; tremor; malaise; anorexia; anxiety; anorexia
DB00552,Pentostatin,,fatigue; lethargy; nausea; rash; fatigue; fatigue; fatigue; rash
DB00553,Methoxsalen,psoriasis,
DB00554,Piroxicam,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pain; stomach pain; nausea; vomiting; stomach pain
DB00555,Lamotrigine,epilepsy; depression; depression,
DB00556,Perflutren,,seizure
DB00557,Hydroxyzine,urticaria; pruritus; urticaria; anxiety; urticaria,
DB00558,Zanamivir,influenza,
DB00559,Bosentan,hypertension; hypertension,pressure; headache; hypotension; nausea; vomiting; hypotension
DB00560,Tigecycline,,headache; nausea; vomiting
DB00561,Doxapram,,tachycardia; tachycardia; hyperactivity
DB00562,Benzthiazide,edema; pressure; high blood pressure; edema,fatigue; nausea; vomiting; fatigue; fatigue; fatigue
DB00563,Methotrexate,arthritis; arthritis; rheumatoid arthritis; psoriasis; leukemia; lymphoma,
DB00564,Carbamazepine,pain; neuralgia; epilepsy; neuralgia,ataxia; nystagmus; hypotension; vomiting; ataxia; depression; hypotension; depression
DB00565,Cisatracurium besylate,anesthesia,anesthesia
DB00566,Succimer,,ataxia; ataxia
DB00567,Cephalexin,,pain; abdominal pain; nausea; vomiting; abdominal pain; diarrhea; diarrhea; abdominal pain
DB00568,Cinnarizine,vertigo; nausea; vomiting,
DB00571,Propranolol,migraine; migraine,bradycardia; hypotension; bradycardia; hypotension
DB00572,Atropine,,fever; collapse; paralysis; tachycardia; tachycardia; fever; depression; depression
DB00573,Fenoprofen,pain; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pain; headache; abdominal pain; dizziness; tremor; ataxia; confusion; tinnitus; tachycardia; hypotension; nausea; vomiting; dyspepsia; abdominal pain; dyspepsia; ataxia; tremor; tachycardia; abdominal pain; depression; confusion; hypotension; depression
DB00574,Fenfluramine,,fever; sweating; pain; pressure; abdominal pain; tremor; confusion; nystagmus; hyperventilation; tachycardia; flushing; abdominal pain; flushing; sweating; tremor; tachycardia; fever; abdominal pain; agitation; confusion
DB00575,Clonidine,pain; pressure; migraine; dysmenorrhea; hypertension; dysmenorrhea; menopause; hyperactivity; hypertension; migraine,weakness; pressure; weakness; high blood pressure; weakness; weakness; weakness; irritability
DB00576,Sulfamethizole,urinary tract infection,
DB00577,Valaciclovir,hiv; herpes,headache; nausea
DB00578,Carbenicillin,,nausea; vomiting; diarrhea; diarrhea
DB00579,Mazindol,hypertension; hypertension; diabetes,tremor; confusion; rapid breathing; irregular heartbeat; nausea; vomiting; diarrhea; tremor; diarrhea; panic; confusion
DB00580,Valdecoxib,osteoarthritis,lethargy; pain; hypertension; nausea; vomiting; depression; hypertension; depression
DB00581,Lactulose,constipation,dehydration; diarrhea; diarrhea
DB00582,Voriconazole,,dyspnea; dyspnea
DB00583,L-Carnitine,secretions,fever; tachycardia; hypertension; tachycardia; fever; hypertension
DB00584,Enalapril,hypertension; hypertension; heart failure,fatigue; headache; dizziness; hypotension; fatigue; fatigue; fatigue; hypotension
DB00585,Nizatidine,reflux; peptic ulcer,emesis; diarrhea; diarrhea
DB00586,Diclofenac,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pressure; loss of consciousness
DB00587,Cinalukast,asthma; asthma,
DB00588,Fluticasone propionate,rhinitis; rhinitis; asthma; psoriasis; asthma,
DB00590,Doxazosin,hypertension; hypertension,hypotension; hypotension
DB00592,Piperazine,,fatigue; fatigue; fatigue; fatigue
DB00593,Ethosuximide,epilepsy,nausea; vomiting; depression; depression
DB00594,Amiloride,hypertension; hypertension; heart failure,dehydration
DB00595,Oxytetracycline,,headache
DB00598,Labetalol,pressure; angina; anesthesia; angina; hypertension; hypotension; hypertension; hypotension,fatigue; weakness; pressure; dizziness; weakness; low blood pressure; weakness; fatigue; weakness; fatigue; weakness; fatigue
DB00599,Thiopental,pressure; anesthesia,pressure; apnea
DB00601,Linezolid,,ataxia; vomiting; ataxia
DB00602,Ivermectin,blindness,fever; pain; headache; joint pain; dizziness; joint pain; rash; fever; rash
DB00603,Medroxyprogesterone acetate,pain; amenorrhea; amenorrhea,
DB00604,Cisapride,reflux; heartburn; heartburn,
DB00605,Sulindac,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,hypotension; hypotension
DB00606,Cyclothiazide,edema; hypertension; edema; hypertension; heart failure; cirrhosis,dehydration
DB00607,Nafcillin,,pain; abdominal pain; nausea; vomiting; abdominal pain; diarrhea; hematuria; hematuria; diarrhea; abdominal pain
DB00608,Chloroquine,arthritis; arthritis; rheumatoid arthritis; malaria,
DB00609,Ethionamide,tuberculosis,nausea; vomiting
DB00610,Metaraminol,anesthesia; hypotension; hypotension,
DB00611,Butorphanol,pain,
DB00612,Bisoprolol,angina; angina; hypertension; hypertension; heart failure,fatigue; weight gain; swelling; pressure; shortness of breath; low blood pressure; swelling; swelling; weight gain; fatigue; fatigue; fatigue; heart failure
DB00613,Amodiaquine,,headache; collapse; bradycardia; hypotension; vomiting; bradycardia; hypotension
DB00614,Furazolidone,diarrhea; diarrhea,fever; pressure; arthralgia; arthralgia; rash; urticaria; fever; arthralgia; rash; urticaria; urticaria
DB00615,Rifabutin,hiv,
DB00617,Paramethadione,,dizziness; clumsiness; nausea
DB00618,Demeclocycline,bronchitis; malaria,
DB00619,Imatinib,tumors; leukemia,fatigue; edema; pain; abdominal pain; edema; nausea; vomiting; abdominal pain; diarrhea; rash; fatigue; fatigue; fatigue; rash; diarrhea; abdominal pain
DB00620,Triamcinolone,rhinitis; rhinitis,
DB00621,Oxandrolone,weight loss; weight gain; weight loss; weight gain; weight loss,
DB00622,Nicardipine,angina; angina; hypertension; hypertension,
DB00624,Testosterone,menopause; climacteric; hiv,sweating; edema; dizziness; paresthesia; amnesia; edema; peripheral edema; dry skin; hirsutism; sweating; dry skin; hirsutism; anxiety; amnesia
DB00625,Efavirenz,hiv; aids,
DB00626,Bacitracin,pneumonia,
DB00627,Niacin,,flushing; flushing
DB00628,Clorazepate,anxiety,confusion; confusion
DB00629,Guanabenz,pressure; high blood pressure,pressure; low blood pressure; irritability
DB00631,Clofarabine,leukemia,vomiting; rash; rash
DB00632,Docosanol,fever; blisters; fever; herpes,pain; headache; abdominal pain; dizziness; nausea; dyspepsia; abdominal pain; dyspepsia; abdominal pain
DB00633,Dexmedetomidine,pain; anxiety,
DB00634,Sulfacetamide,conjunctivitis,tiredness; edema; headache; dizziness; edema; redness; erythema; nausea; vomiting; erythema; redness
DB00635,Prednisone,edema; rhinitis; edema; erythema; dermatitis; erythema; purpura; tumors; purpura; rhinitis; conjunctivitis; tuberculosis; dermatitis; psoriasis; anemia; leukemia; thrombocytopenia; herpes,
DB00637,Astemizole,rhinitis; rhinitis; conjunctivitis; allergy,
DB00638,Inulin,diabetes,
DB00640,Adenosine,tachycardia; tachycardia,
DB00641,Simvastatin,,arthralgia; myalgia; arthralgia; myalgia; arthralgia; myalgia
DB00643,Mebendazole,,fever; itching; hair loss; fever
DB00645,Dyclonine,fever; anesthesia; fever,depression; depression
DB00647,Dextropropoxyphene,pain,edema; collapse; edema; depression; depression
DB00649,Stavudine,hiv,swelling; pain; burning; numbness; tingling; swelling; swelling; neuropathy
DB00651,Dyphylline,bronchospasm; asthma; bronchitis; emphysema; asthma,
DB00652,Pentazocine,pain,
DB00653,Magnesium Sulfate,tetany; nephritis,hypotension; diarrhea; diarrhea; depression; hypotension; depression
DB00654,Latanoprost,pressure; hypertension; hypertension,
DB00655,Estrone,,edema; fluid retention; tenderness; fit; edema; nausea; vomiting; tenderness; depression; irritability; depression
DB00656,Trazodone,depression; depression,
DB00657,Mecamylamine,hypertension; hypertension,
DB00659,Acamprosate,,diarrhea; diarrhea
DB00661,Verapamil,headache; angina; angina; hypertension; hypertension; cluster headache,
DB00662,Trimethobenzamide,nausea; vomiting,
DB00663,Flumethasone,rash; dermatitis; rash; dermatitis; psoriasis,burning; burning sensation; rash; itching; rash
DB00664,Sulfametopyrazine,bronchitis; urinary tract infection,
DB00665,Nilutamide,,discomfort; headache; dizziness; nausea; vomiting
DB00668,Epinephrine,anaphylaxis,
DB00669,Sumatriptan,migraine; migraine,tremor; paralysis; ataxia; cyanosis; erythema; ataxia; erythema; cyanosis; tremor; cyanosis
DB00670,Pirenzepine,peptic ulcer,
DB00671,Cefixime,pharyngitis; bronchitis,pain; abdominal pain; nausea; vomiting; abdominal pain; diarrhea; diarrhea; abdominal pain
DB00673,Aprepitant,nausea; vomiting,
DB00674,Galantamine,dementia; dementia,
DB00676,Benzyl Benzoate,,loss of consciousness; itching
DB00677,Isoflurophate,,sweating; tiredness; weakness; pain; weakness; shortness of breath; wheezing; irregular heartbeat; nausea; vomiting; diarrhea; weakness; muscle weakness; sweating; weakness; weakness; wheezing; diarrhea
DB00678,Losartan,hypertension; hypertension; coronary artery disease; heart failure,tachycardia; bradycardia; hypotension; tachycardia; bradycardia; hypotension
DB00679,Thioridazine,anxiety; anxiety disorder; schizophrenia,pressure; confusion; blurred vision; nasal congestion; low blood pressure; constipation; dry skin; dry skin; agitation; confusion
DB00680,Moricizine,,pressure; low blood pressure; vomiting
DB00682,Warfarin,atrial fibrillation,
DB00683,Midazolam,amnesia; amnesia,confusion; confusion
DB00685,Trovafloxacin,urethritis,vomiting; diarrhea; diarrhea
DB00686,Pentosan Polysulfate,pain; discomfort; cystitis,
DB00687,Fludrocortisone,,weakness; edema; weakness; hypertension; edema; weakness; weakness; weakness; hypertension
DB00688,Mycophenolate mofetil,,pain; abdominal pain; nausea; vomiting; dyspepsia; abdominal pain; diarrhea; dyspepsia; diarrhea; abdominal pain
DB00689,Cephaloglycin,,distress; nausea; vomiting; diarrhea; diarrhea
DB00690,Flurazepam,insomnia,pressure; confusion; low blood pressure; confusion
DB00691,Moexipril,hypertension; hypertension,fatigue; myalgia; dizziness; cough; pharyngitis; hypotension; flushing; diarrhea; myalgia; rash; flushing; fatigue; fatigue; fatigue; myalgia; rash; cough; diarrhea; hypotension
DB00692,Phentolamine,anesthesia; hypertension; erectile dysfunction; erectile dysfunction; hypertension,
DB00694,Daunorubicin,leukemia,
DB00695,Furosemide,edema; hypertension; edema; hypertension; heart failure; cirrhosis,weight loss; dehydration; tinnitus; hearing loss; deafness; hypotension; orthostatic hypotension; weight loss; weight loss; hypotension
DB00696,Ergotamine,headache; migraine; cephalalgia; migraine,thirst; headache; numbness; tingling; confusion; nausea; vomiting; diarrhea; pruritus; diarrhea; confusion
DB00698,Nitrofurantoin,cystitis,nausea; vomiting; anemia
DB00699,Nicergoline,dementia; dementia,
DB00700,Eplerenone,heart failure,hypotension; hypotension
DB00701,Amprenavir,hiv,
DB00704,Naltrexone,,depression; depression
DB00705,Delavirdine,hiv,fever; swelling; swelling; rash; swelling; fever; rash; conjunctivitis
DB00708,Sufentanil,pain; anesthesia,
DB00709,Lamivudine,hepatitis; hiv; hepatitis,fatigue; malaise; headache; cough; nausea; diarrhea; fatigue; fatigue; fatigue; malaise; cough; diarrhea
DB00710,Ibandronate,,bronchitis; pneumonia
DB00712,Flurbiprofen,pain; dysmenorrhea; dysmenorrhea; arthritis; arthritis; rheumatoid arthritis,edema; fluid retention; pain; pressure; headache; abdominal pain; dizziness; tinnitus; edema; nausea; vomiting; dyspepsia; flatulence; abdominal pain; diarrhea; constipation; dyspepsia; frequency; rash; dermatitis; pruritus; rash; diarrhea; abdominal pain; heart failure; peptic ulcer; dermatitis; anemia
DB00715,Paroxetine,hot flashes; menopause; hot flashes; anxiety; panic; phobia; agitation; dementia; anxiety disorder; dementia,sweating; asthenia; dizziness; tremor; flushing; nausea; vomiting; diarrhea; constipation; impotence; flushing; sweating; tremor; diarrhea; insomnia; hyperactivity
DB00716,Nedocromil,asthma; asthma,burning; headache; increased sensitivity; blurred vision; cough; shortness of breath; wheezing; nasal congestion; conjunctivitis; wheezing; cough
DB00717,Norethisterone,amenorrhea; amenorrhea,
DB00718,Adefovir Dipivoxil,hepatitis; hepatitis,
DB00719,Azatadine,nasal congestion; rhinitis; rhinitis,shaking; trembling; tic; clumsiness; shortness of breath; flushing; redness; redness; flushing; insomnia
DB00720,Clodronic Acid,tumors,
DB00722,Lisinopril,hypertension; hypertension; heart failure; diabetes,fatigue; headache; dizziness; cough; hypotension; diarrhea; fatigue; fatigue; fatigue; cough; diarrhea; hypotension
DB00723,Methoxamine,hypotension; hypotension,
DB00724,Imiquimod,,fever; fatigue; pain; headache; muscle pain; nausea; muscle pain; fatigue; fatigue; fever; fatigue
DB00726,Trimipramine,depression; anxiety; agitation; depression,fever; pressure; confusion; low blood pressure; vomiting; rigidity; fever; agitation; confusion
DB00727,Nitroglycerin,angina; angina,fever; diaphoresis; throbbing; pressure; headache; colic; vertigo; syncope; paralysis; confusion; dyspnea; air hunger; palpitations; bradycardia; heart block; syncope; nausea; vomiting; colic; diarrhea; palpitations; bradycardia; hunger; fever; dyspnea; diarrhea; confusion
DB00728,Rocuronium,anesthesia,anesthesia
DB00729,Diphemanil Methylsulfate,perspiration; hyperhidrosis; hyperhidrosis; gastritis; peptic ulcer,
DB00730,Thiabendazole,eruption,
DB00731,Nateglinide,diabetes,
DB00732,Atracurium besylate,anesthesia,hypotension; hypotension
DB00734,Risperidone,psychosis; aggression; psychosis; dementia; schizophrenia; dementia,tachycardia; hypotension; tachycardia; hypotension
DB00736,Esomeprazole,reflux; peptic ulcer,sweating; headache; confusion; blurred vision; rapid heartbeat; flushing; nausea; flushing; sweating; confusion
DB00737,Meclizine,dizziness; nausea; vomiting,
DB00738,Pentamidine,pneumonia,fever; anorexia; pain; dizziness; confusion; hypotension; nausea; diarrhea; anorexia; rash; fever; anorexia; rash; diarrhea; confusion; anorexia; hypotension
DB00741,Hydrocortisone,arthritis; asthma; arthritis; psoriasis; adrenal insufficiency; asthma,
DB00742,Mannitol,edema; pressure; edema,
DB00744,Zileuton,asthma; asthma,
DB00745,Modafinil,narcolepsy,
DB00746,Deferoxamine,anemia,
DB00747,Scopolamine,pain; abdominal pain; bradycardia; abdominal pain; bradycardia; abdominal pain; irritable bowel syndrome,
DB00748,Carbinoxamine,rhinitis; urticaria; angioedema; urticaria; angioedema; rhinitis; conjunctivitis; urticaria,
DB00749,Etodolac,pain; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,lethargy; edema; fluid retention; pain; pressure; headache; abdominal pain; dizziness; tinnitus; edema; nausea; vomiting; dyspepsia; flatulence; abdominal pain; diarrhea; constipation; dyspepsia; rash; dermatitis; pruritus; rash; diarrhea; abdominal pain; peptic ulcer; dermatitis; anemia
DB00751,Epinastine,itching; conjunctivitis,
DB00752,Tranylcypromine,,weakness; headache; dizziness; twitching; weakness; confusion; hypertension; hypotension; weakness; rigidity; weakness; weakness; anxiety; agitation; confusion; insomnia; hypertension; hypotension
DB00753,Isoflurane,anesthesia,
DB00754,Ethotoin,,nausea
DB00755,Tretinoin,ichthyosis; hyperkeratosis; psoriasis; leukemia,
DB00756,Hexachlorophene,,anorexia; dehydration; abdominal cramps; hypotension; vomiting; abdominal cramps; diarrhea; anorexia; anorexia; diarrhea; anorexia; hypotension
DB00757,Dolasetron,nausea; vomiting,
DB00758,Clopidogrel,,vomiting
DB00759,Tetracycline,fever; fever,
DB00760,Meropenem,appendicitis,ataxia; dyspnea; ataxia; dyspnea
DB00761,Potassium Chloride,,collapse; paralysis; depression; depression
DB00762,Irinotecan,,cramping; nausea; vomiting; diarrhea; diarrhea
DB00763,Methimazole,goiter; psoriasis; hyperthyroidism,fever; edema; pain; distress; headache; joint pain; edema; nausea; vomiting; joint pain; dermatitis; pruritus; fever; depression; hepatitis; dermatitis; anemia; depression; hepatitis
DB00764,Mometasone,rhinitis; rhinitis; asthma; asthma,weakness; weakness; weakness; muscle weakness; weakness; weakness
DB00765,Metyrosine,,fatigue; tremor; diarrhea; tremor; fatigue; fatigue; fatigue; diarrhea; depression; anxiety; depression
DB00766,Clavulanate,,pain; abdominal pain; vomiting; abdominal pain; diarrhea; rash; rash; diarrhea; abdominal pain; hyperactivity
DB00767,Benzquinamide,anesthesia; nausea; vomiting,
DB00768,Olopatadine,itching; conjunctivitis,
DB00769,Hydrocortamate,,burning; dermatitis; itching; hypertrichosis; dermatitis
DB00770,Alprostadil,erectile dysfunction; erectile dysfunction,pyrexia; apnea; bradycardia; hypotension; flushing; flushing; bradycardia; hypotension
DB00771,Clidinium,pain; abdominal pain; abdominal pain; abdominal pain; peptic ulcer; irritable bowel syndrome,confusion; blurred vision; confusion
DB00772,Malathion,,chest tightness; tremor; paralysis; ataxia; confusion; blurred vision; chest tightness; tachycardia; bradycardia; ataxia; tremor; tachycardia; bradycardia; confusion
DB00773,Etoposide,tumors; leukemia; lymphoma,nausea; vomiting; diarrhea; constipation; alopecia; alopecia; diarrhea; leukemia
DB00774,Hydroflumethiazide,edema; hypertension; edema; hypertension; heart failure; cirrhosis,lethargy; dehydration; depression; depression
DB00776,Oxcarbazepine,epilepsy,
DB00777,Propiomazine,insomnia,fever; sweating; tiredness; weakness; pressure; weakness; irregular heartbeat; low blood pressure; weakness; stiffness; sweating; weakness; weakness; fever
DB00778,Roxithromycin,,pain; abdominal pain; nausea; vomiting; abdominal pain; abdominal pain
DB00779,Nalidixic Acid,,lethargy; pressure; psychosis; nausea; vomiting; psychosis
